2024_avg_score,byeWeek,MFL_PLAYER_ID,name,NFLPlayerCardInfo,NFLTeamforPlayer,position,match_source
6.5,12,16189,Marvin Mims Jr.,The second-year receiver is a big-play threat with explosive speed. He could be a league winner if he can earn a bigger role in a the offense.,DEN,WR,matched_from_sheet
6.3,14,16639,Xavier Legette,A powerful and explosive rookie who is a great late-round flier. He's a boom-or-bust fantasy option with a chance to break out if he can stay healthy.,CAR,WR,matched_from_sheet
7.4,8,15253,Travis Etienne Jr.,"A disappointing 2024 season has dropped his ADP, but the talent is still there. He faces competition from Tank Bigsby, but he’s still the most explosive back on the team.",JAC,RB,matched_from_sheet
,9,17081,Emeka Egbuka,A talented rookie who will be battling for targets in a crowded receiver room. He's a polished route runner with a knack for making plays after the catch.,TB,WR,matched_from_sheet
,8,,Jack Bech,A rookie wide receiver with a big frame and reliable hands. He's a possession receiver who will have to fight for targets on his new team.,LV,WR,UNMATCHED_needs_id
6,9,16191,Cedric Tillman,The third-year wide receiver is a great late-round flier who could break out if he gets a bigger role. He's a big-bodied receiver who can win in the red zone.,CLE,WR,matched_from_sheet
8.4,5,,Romeo Doubs,His fantasy value is directly tied to his rapport with his QB. He led the Packers in target share and first-read share in 2024.,GB,WR,UNMATCHED_needs_id
5.3,5,,Roschon Johnson,"Stuck in a committee, Johnson's fantasy value is limited. He's a powerful runner with a nose for the goal line, but he needs more consistent volume to be a fantasy starter.",CHI,RB,UNMATCHED_needs_id
7.8,8,16164,Tank Bigsby,"Despite a crowded backfield, Bigsby is an efficient runner who could earn a significant workload. He's a touchdown vulture with a physical running style.",JAC,RB,matched_from_sheet
10.5,5,13193,Jonnu Smith,"He's now the top tight end on a new team. He's a consistent PPR producer, but his fantasy value is directly tied to his targets.",PIT,TE,matched_from_sheet
,12,17072,Tre Harris,"A rookie who is a crisp route runner with great hands who will get a chance to be a factor from day one. However, we've seen this hype train before with young Chargers receivers",LAC,WR,matched_from_sheet
9.1,6,15972,Jordan Mason,"Now the lead back in Minnesota, Mason is a powerful runner with an outside zone running scheme that fits his skillset. He's a great value pick with a clear path to touches.",MIN,RB,matched_from_sheet
5.4,14,16688,Isaac Guerendo,"A great handcuff option who could be a league-winner if Christian McCaffrey gets hurt, but he's currently battling injuries of his own. Guerendo has explosive speed and showed flashes as a rookie. ",SF,RB,matched_from_sheet
2.3,5,,MarShawn Lloyd,"A talented and explosive back, but his rookie season was derailed by injuries. He's a lottery ticket with a lot of upside if he can stay healthy.",GB,RB,UNMATCHED_needs_id
6.3,8,16206,Michael Wilson,He’s a big-bodied receiver who will get a chance to make plays in a developing offense. He had 47 catches for 548 yards and 4 TDs in 2024.,ARI,WR,matched_from_sheet
5.9,5,15712,Tyler Allgeier,"The definition of a handcuff. He's a powerful runner who would be an RB1 if Bijan Robinson ever missed time. For now, his value is limited to a few touchdowns and flex consideration.",ATL,RB,matched_from_sheet
7.8,10,,Zack Moss,"He's currently not on a team, don't say we didn't warn ya.",CIN,RB,UNMATCHED_needs_id
6.7,14,16342,DeMario Douglas,A dynamic slot receiver who is a PPR machine. He's a great late-round flier who could break out if he gets a bigger role. He finished 2024 with 66 receptions for 621 yards and three touchdowns.,NE,WR,matched_from_sheet
,6,17083,Jayden Higgins,A big-bodied rookie wide receiver with a massive catch radius and a knack for making contested catches. He is a fantastic late-round flier with incredible upside.,HOU,WR,matched_from_sheet
5.9,5,,Calvin Austin III,"A speedy receiver that was a high-volume slot receiver with a new QB, could be the WR2 in Pittsburgh could be shut out",PIT,WR,UNMATCHED_needs_id
5.3,12,,Jaleel McLaughlin,"He's an explosive, shifty runner who’s a threat to score every time he touches the ball, but he’s too small for a workhorse role.",DEN,RB,UNMATCHED_needs_id
3.8,11,,Kendre Miller,"He's coming off an injury-plagued season, but his new team could give him a shot at a lead-back role.",NO,RB,UNMATCHED_needs_id
8.3,9,13674,Dallas Goedert,"He's an efficient tight end who will provide a solid floor for your fantasy team. He usually won't give you massive spike weeks, but he's a great option still",PHI,TE,matched_from_sheet
,5,,Luther Burden III,A dynamic rookie wide receiver with an elite college resume and the swagger of a star. He's a versatile weapon who could break out,CHI,WR,UNMATCHED_needs_id
,6,,Woody Marks,"An unheralded rookie with a pass-catching skillset, Marks is an interesting late-round pick in PPR leagues. He’s a longshot to be a lead back, but he could carve out a role as a third-down specialist.",HOU,RB,UNMATCHED_needs_id
8.1,5,16222,Tucker Kraft,The Packers' tight end is a breakout candidate after a solid year last year. He's a big-bodied receiver who can win in the red zone and in the middle of the field. Still the Packers will spread the ball around,GB,TE,matched_from_sheet
6.4,5,,Ray-Ray McCloud III,"A veteran slot receiver who will provide a solid floor for your fantasy team. He won't give you massive spike weeks, but can get you points in a pinch",ATL,WR,UNMATCHED_needs_id
7.3,12,13189,Evan Engram,He's a dynamic pass-catcher who is a top-10 tight end with a high floor. He’s a consistent PPR producer who will be a key part of his team's offense.,DEN,TE,matched_from_sheet
3.4,8,,Trey Benson,"After a quiet rookie season, Benson is a high-upside lottery ticket. His combination of size and speed makes him a threat to take over the backfield if he gets a chance.",ARI,RB,UNMATCHED_needs_id
,8,17052,Bhayshul Tuten,"A game-breaking rookie with sub-4.4 speed, Tuten is a fascinating dart throw in a crowded backfield. His path to a significant role is unclear, but he has the raw talent to be a fantasy factor",JAC,RB,matched_from_sheet
,14,,Kyle Williams,"The rookie is a big-play threat with a new QB who loves to push the ball downfield. He's a boom-or-bust fantasy option, but his connection with his quarterback is something to watch.",NE,WR,UNMATCHED_needs_id
,10,,Jaydon Blue,"An explosive dual-threat rookie with elite speed, he's a late-round flier with a chance to seize a significant role in a revamped offense. His college production was solid, but he'll need to overcome ball security issues.",DAL,RB,UNMATCHED_needs_id
9,9,16628,Jalen McMillan,"After an injury-plagued rookie season, McMillan is a lottery ticket with a lot of upside if he can stay healthy. He's a polished route runner who could be a PPR monster.",TB,WR,matched_from_sheet
8.5,12,11247,Zach Ertz,A veteran tight end who still gets it done and has a great QB. We'll see if he can fend off father time for one more year.,WAS,TE,matched_from_sheet
5.4,10,15799,Jake Ferguson,"He's a consistent PPR producer who is now the Cowboys' top tight end. He’s a great option in PPR leagues, but don't expect many huge games.",DAL,TE,matched_from_sheet
4.7,8,12447,Raheem Mostert,The veteran running back is past his prime and now in a new system with a first-round rookie. His fantasy value is limited to a touchdown-vulturing role in a committee.,LV,RB,matched_from_sheet
7.1,7,,Justice Hill,"A change-of-pace back with an impressive pass-catching skillset, Hill’s value is limited by the presence of a workhorse running back",BAL,RB,UNMATCHED_needs_id
8.3,9,15713,Jerome Ford,"The Browns’ backfield is a mess with the arrival of two rookies. Ford is a high-risk, high-reward pick who needs to hold off a pair of talented newcomers.",CLE,RB,matched_from_sheet
11.1,14,14823,Rico Dowdle,"After a breakout 2024 season, Dowdle is now in a crowded backfield. His fantasy value is highly dependent on him securing the backup job and getting goal-line opportunities.",CAR,RB,matched_from_sheet
6.4,7,15798,Isaiah Likely,"A touchdown machine and a red zone weapon, but his volume is a concern. He's a high-risk, high-reward pick who could be a league winner if Mark Andrews gets hurt.",BAL,TE,matched_from_sheet
1.7,12,16610,Jaylen Wright,He's a speedster who could see an expanded role with a new offensive coordinator. He’s an intriguing bench stash who could turn into a league winner if he gets more touches.,MIA,RB,matched_from_sheet
11.1,10,13138,Kareem Hunt,"He’s still a valuable backup, but at age 30, his best days are behind him. He's a touchdown-dependent handcuff with limited upside as a standalone fantasy option.",KC,RB,matched_from_sheet
6.3,7,,Ray Davis,He’s an explosive back with a clear path to a significant role in a high-powered offense. His pass-catching ability makes him a valuable asset in PPR leagues.,BUF,RB,UNMATCHED_needs_id
7,12,,Nick Westbrook-Ikhine,He's a great deep-league play with touchdown upside. He finished his 2024 season with nine touchdowns on just 32 receptions.,MIA,WR,UNMATCHED_needs_id
5.7,10,12187,Tyler Lockett,The veteran receiver is past his prime and now in a run-heavy offense with a new rookie quarterback. His fantasy value is limited to a touchdown-vulturing role in a committee,TEN,WR,matched_from_sheet
6.2,8,16287,Tre Tucker,The third-year receiver is a big-play threat with explosive speed. He could be a league winner if he can earn a bigger role in a new offense.,LV,WR,matched_from_sheet
4.9,7,,Ty Johnson,"He's a veteran back with a pass-catching skillset, but his role is limited in a crowded backfield.",BUF,RB,UNMATCHED_needs_id
2.6,12,,Mike Williams,"He retired, don't pick him dude",LAC,WR,UNMATCHED_needs_id
4.6,8,,Tutu Atwell,"The speedster is a chance to have big spike weeks with long plays, but very boom or bust overall",LAR,WR,UNMATCHED_needs_id
5.7,11,11674,Brandin Cooks,"He's been around the block and injuries and age are a concern, but he's a veteran who can put up some points with little competition",NO,WR,matched_from_sheet
7.5,10,15788,Jalen Tolbert,"A distant third or forth receiving option, but on a team that will throw a ton",DAL,WR,matched_from_sheet
8.9,11,15768,Alec Pierce,Can get you some big spike weeks on big plays,IND,WR,matched_from_sheet
5.9,7,15319,Joshua Palmer,The veteran receiver is a consistent WR3 with a solid floor and now has Josh Allen as his QB. His fantasy value is directly tied to his targets and a new receiver room.,BUF,WR,matched_from_sheet
7.4,7,11232,DeAndre Hopkins,"He was once one of the best players in the league, but age has caught up to him. Still he's on the top scoring offense and might still have some juice",BAL,WR,matched_from_sheet
7,14,12676,Hunter Henry,"The veteran tight end is a consistent PPR producer, but his fantasy value is tied to inconsistent quarterback play. He won't give you massive spike weeks, but he's a great option in deep leagues.",NE,TE,matched_from_sheet
8,5,,Pat Freiermuth,"The Muth is a TE who provides a solid floor, but his ceiling is limited by a run-heavy offense.",PIT,TE,UNMATCHED_needs_id
,11,17102,Tyler Warren,The rookie tight end is a polished route runner with elite size and speed. He's an instant contributor in a new-look offense.,IND,TE,matched_from_sheet
14.2,11,14059,Daniel Jones,Danny Dimes is in a heated QB mid off battle with Anthony Richardson,IND,QB,matched_from_sheet
4.5,9,16596,Braelon Allen,"A big, physical back who could thrive in a new offense that values a two-man backfield. He's a great late-round flier with touchdown upside.",NYJ,RB,matched_from_sheet
6.1,7,16213,Dalton Kincaid,"The sophomore slump hit hard, but he’s still a red zone threat in a high-powered offense. We'll see if he can turn it around",BUF,TE,matched_from_sheet
5.9,10,14079,Miles Sanders,"After a forgettable 2024 season, Sanders is now a backup in a new offense. His fantasy value is minimal unless the starter gets injured, however he's in a very shaky rotation with players that do tend to get injured.",DAL,RB,matched_from_sheet
,9,17047,Dylan Sampson,"The Browns’ rookie running back is an intriguing prospect, but he's battling for touches in a crowded backfield. He's a dynasty stash with a pass-catching skillset that could earn him a role.",CLE,RB,matched_from_sheet
7.9,9,15802,Cade Otton,"Otton had some big games last year, but that seems to be an anomoly compared to the past. Or is it a sign of things to come/",TB,TE,matched_from_sheet
13.5,12,14800,J.K. Dobbins,"is talent is undeniable, but so is his injury history. Now in a committee, he's a high-risk, high-reward pick whose fantasy value is directly tied to his health.",DEN,RB,matched_from_sheet
2,8,,Blake Corum,"The talented rookie is an excellent handcuff for Kyren Williams, but his fantasy upside is capped as a backup. He’ll get goal-line work and touches, but it won't be enough to make him a consistent starter",LAR,RB,UNMATCHED_needs_id
5.7,14,,Darius Slayton,"His fantasy value is directly tied to inconsistent quarterback play, but when he connects, it's a home run.",NYG,WR,UNMATCHED_needs_id
6.1,9,,Diontae Johnson,This is his 4th team in the last 12 months - should tell you something. Still back in the day he was a top 20 WR,CLE,WR,UNMATCHED_needs_id
6.3,5,15329,Kyle Pitts,"Well, did it work for those people?
- No, it never does. I mean, these people somehow delude themselves into thinking it might, but... but it might work for us",ATL,TE,matched_from_sheet
9,9,13632,Allen Lazard,"He's back with Aaron Rodgers, but his role is a bit of a mystery. Still for some reason he keeps putting up fantasy relevant weeks",NYJ,WR,matched_from_sheet
6.4,10,13672,Mike Gesicki,A good reciever but just got some more competition from Noah Fant,CIN,TE,matched_from_sheet
6.1,5,,Christian Watson,"Coming back from an ACL tear, but if he still has the juice he can take any catch for a touchdown",GB,WR,UNMATCHED_needs_id
6,10,16207,Andrei Iosivas,The Bengals' #3 receiver is a boom-or-bust fantasy option who needs a clear path to targets to be a consistent starter,CIN,WR,matched_from_sheet
,12,17082,Pat Bryant,"A rookie that's getting training camp hype, could be nothing, or you could have a steal",DEN,WR,matched_from_sheet
5.2,9,,Kenny Pickett,2024 Super Bowl Champion Kenny Pickett could be the starter in Clevland,CLE,QB,UNMATCHED_needs_id
7.5,8,,Tyler Higbee,"A veteran tight end who will provide a solid floor for your fantasy team. His fantasy value is directly tied to his targets and a crowded receiver room, but he's a red zone weapon.",LAR,TE,UNMATCHED_needs_id
5.4,6,13772,Dalton Schultz,"The veteran tight end is a consistent PPR producer, but his production has been in decline. Still Stroud will find him on key plays",HOU,TE,matched_from_sheet
,5,17104,Colston Loveland,"The #10 pick in the NFL Draft, he's got skills. Can he carve out a role in a crowded offense and some inconsistent QB play?",CHI,TE,matched_from_sheet
4.2,8,16269,Brenton Strange,Get some strange,JAC,TE,matched_from_sheet
,9,17031,Shedeur Sanders,"You know the NFL Teams passed on him for 5 rounds of the NFL Draft, but you know something they don't",CLE,QB,matched_from_sheet
10.3,11,16586,Spencer Rattler,Competing for the QB 1 job in New Orleans after doing ok at best last year,NO,QB,matched_from_sheet
-0.1,9,,Kyle Trask,Just a backup with little upside,TB,QB,UNMATCHED_needs_id
,14,17032,Jaxson Dart,"A rookie with a shot to start, but sitting behind two other QBs. If he does start though he has a shot to put up some usable weeks",NYG,QB,matched_from_sheet
,9,,Dillon Gabriel,"He's in a room with 4 QBs, we'll see if he can win the starting job over Flacco, Pickett, and Sanders",CLE,QB,UNMATCHED_needs_id
20.9,8,11760,Jimmy Garoppolo,Ain't nothing but a Jimmy G Thang Baby,LAR,QB,matched_from_sheet
10,9,,Tyrod Taylor,Could be a starter if Justin Fields goes down. He's a veteran who isn't flashy but can put up some respectable stats,NYJ,QB,UNMATCHED_needs_id
-0.1,10,,Jake Browning,"Had a great stretch of games when Burrow was out, but strictly a backup QB",CIN,QB,UNMATCHED_needs_id
,8,,Jalen Milroe,"Back up to Sam Darnold, limited as a passer, but an incredible athlete",SEA,QB,UNMATCHED_needs_id
5.8,8,,Jacoby Brissett,He could play if something happens to Kyler.,ARI,QB,UNMATCHED_needs_id
19.2,10,,Joe Milton III,"He's got a rocket arm, but he's firmly behind Dak Prescott. However, Dak has been injured plenty of times",DAL,QB,UNMATCHED_needs_id
1.7,7,,Mitchell Trubisky,The guy Chicago picked over Patrick Mahomes,BUF,QB,UNMATCHED_needs_id
13.3,9,9064,Joe Flacco,"Former Super Bowl champion and showed he still had some game two years ago, but now he's in his 40s",CLE,QB,matched_from_sheet
0.8,12,,Taylor Heinicke,"He's a career backup, but when he gets in the game he slings it but he also throws a lot of picks.",LAC,QB,UNMATCHED_needs_id
15.3,12,,Marcus Mariota,A former #1 pick but definitely the backup to Jaden Daniels. The only way he's playing is if Daniels goes down,WAS,QB,UNMATCHED_needs_id
,10,15263,Elijah Mitchell,"He’s a former lead back with explosive speed, but injuries and a deep backfield have relegated him to a change-of-pace role. He’s a valuable handcuff for deep leagues, but not a fantasy starter.",KC,RB,matched_from_sheet
0.1,6,,Sam Howell,He's the back up to JJ McCarthy but might play more games than you think,MIN,QB,UNMATCHED_needs_id
8.5,12,14223,Alexander Mattison,"A new team and a committee backfield make him a risky fantasy option. He'll get some touches, but his fantasy upside is capped as a backup.",MIA,RB,matched_from_sheet
,14,,Trevor Etienne,"A rookie with an intriguing skillset, Etienne could be a dynamic playmaker in a pass-heavy offense. He's a deep-league stash, but he needs a clear path to touches before he can be a reliable fantasy starter.",CAR,RB,UNMATCHED_needs_id
0.2,12,,Jarrett Stidham,Purely the backup to Bo Nix,DEN,QB,UNMATCHED_needs_id
5.4,14,,Antonio Gibson,"He's a pass-catching specialist on a run-heavy team, but needs to overcome the fumbling issues",NE,RB,UNMATCHED_needs_id
14.4,9,,Tanner McKee,Super Bowl Champion Tanner McKee is purely a backup and insurance policy to Jalen Hurts,PHI,QB,UNMATCHED_needs_id
10.6,10,,Gardner Minshew II,"Backing up Mahomes he won't get much playing time if any, but there is a small chance he's running the Chiefs offense for a few weeks",KC,QB,UNMATCHED_needs_id
,12,,Zach Wilson,"Zach Wilson has a decently high chance to start games and throw to Tyreek Hill, Jalen Waddle and Devon Achane. Just one problem, he's not any good",MIA,QB,UNMATCHED_needs_id
4,10,13133,Samaje Perine,"Now back with the Bengals, Perine's role is a bit of a mystery. He's a veteran with a pass-catching skillset, but he needs an injury to a starter to have any fantasy value. He had a career-high 35 receptions in 2024.",CIN,RB,matched_from_sheet
3.3,8,15292,Dyami Brown,"He's a speedster who can make big plays, but he's never had a consistent role. He finished 2024 with 30 receptions for 308 yards.",JAC,WR,matched_from_sheet
4.8,8,,Parker Washington,This Jag is a JAG (just a guy),JAC,WR,UNMATCHED_needs_id
5.2,10,15889,Chig Okonkwo,"One of the most fun names in the NFL. He's big and fast and has a new QB, maybe this is the year",TEN,TE,matched_from_sheet
5.4,8,13793,Marquez Valdes-Scantling,"Just as likely to drop a big TD as catch one, but still he's a vertical deep threat",SEA,WR,matched_from_sheet
6.3,12,13172,Noah Brown,"If Scary Terry isn't on Washington, and Deebo Samuel is injured he might play a ton",WAS,WR,matched_from_sheet
2.5,11,,Adonai Mitchell,"A highly-touted rookie with a frustratingly low production in his debut season. His talent is undeniable, but he has yet to put it all together on the field.",IND,WR,UNMATCHED_needs_id
6.4,14,12785,Demarcus Robinson,A veteran journeyman who somehow found a spark late in his career. He's a touchdown-dependent player in a new system who could provide a few good weeks.,SF,WR,matched_from_sheet
7,14,16809,Jalen Coker,"He showed some flashes of brilliance like a 110 yards on 4 catches against the Cowboys. Still, he's fighting for targets on his team",CAR,WR,matched_from_sheet
5.8,11,,Juwan Johnson,"Johnson had some big games last year and also a ton of duds, but at this price you get what you pay for",NO,TE,UNMATCHED_needs_id
9.7,8,16614,Marvin Harrison Jr.,"The generational prospect didn't exactly have a generational rookie year, but with a full season under his belt, it could be a different story. He's a technician with Hall of Fame bloodlines. While he might have been a disappointment last year for fantasy, he did tie the Cardinals' rookie record for receiving touchdowns with eight.",ARI,WR,matched_from_sheet
,8,,Tory Horton,"Don't sleep on the Seahawks' rookie wideout, a fifth-round gem who's been ""making multiple plays every day"" in camp. He's a player with a full arsenal of routes who is poised for a massive role in a new offense. A knee injury in his final college season caused him to slip to the fifth round.",SEA,WR,UNMATCHED_needs_id
,12,17256,Jacory Croskey-Merritt,"Jacory Croskey-Merritt’s nickname is “Bill”. He tells the story that as a kid, he had a shaved, bald head, so his friends called him “Little Bill” in reference to the cartoon character. 

“Bill” was a zero-star recruit from Montgomery, Alabama who played at Alabama State for 4 seasons, then New Mexico, and then Arizona. Which brings me to the whole reason he didn’t get an NFL Combine invite - he played just ONE game at Arizona in his final season of college football. ",WAS,RB,matched_from_sheet
,9,17106,Mason Taylor,"The rookie tight end has bloodlines (son of NFL great Jason Taylor) and the kind of size-speed combo that makes coaches daydream. He’s raw, but his knack for finding soft spots in coverage could turn him into a sneaky fantasy spoiler by midseason.",NYJ,TE,matched_from_sheet
