d,Franchise ID,playersPosition,teamPlayersName,MFL_ID,,,,Franchise_ID,FantasyTeamName
SlimShady,0009,TE,Jonnu Smith,13193,,,,,
SlimShady,0009,WR,Jalen Tolbert,15788,,,,,
SlimShady,0009,RB,Rico Dowdle,14823,,,,,
SlimShady,0009,RB,Jerome Ford,15713,,,,,
Tanmaya Hobbs's team,0011,QB,Jalen Hurts,14783,,,,,
Tanmaya Hobbs's team,0011,QB,Baker Mayfield,13590,,,,,
Tanmaya Hobbs's team,0011,RB,Jahmyr Gibbs,16162,,,,,
Tanmaya Hobbs's team,0011,RB,David Montgomery,14071,,,,,
Tanmaya Hobbs's team,0011,WR,Xavier Worthy,16620,,,,,
Tanmaya Hobbs's team,0011,WR,Rashod Bateman,15293,,,,,
Tanmaya Hobbs's team,0011,WR,Rashid Shaheed,16080,,,,,
Tanmaya Hobbs's team,0011,TE,Sam LaPorta,16214,,,,,
Tanmaya Hobbs's team,0011,RB,Raheem Mostert,12447,,,,,
Tanmaya Hobbs's team,0011,TE,Tucker Kraft,16222,,,,,
Tanmaya Hobbs's team,0011,RB,Rico Dowdle,14823,,,,,
Tanmaya Hobbs's team,0011,WR,Drake London,15751,,,,,
Tanmaya Hobbs's team 2,0002,QB,Josh Allen,13589,,,,,
Tanmaya Hobbs's team 2,0002,QB,Jayden Daniels,16581,,,,,
Tanmaya Hobbs's team 2,0002,RB,James Cook,15715,,,,,
Tanmaya Hobbs's team 2,0002,RB,Chuba Hubbard,15261,,,,,
Tanmaya Hobbs's team 2,0002,WR,Rome Odunze,16616,,,,,
Tanmaya Hobbs's team 2,0002,WR,Rashid Shaheed,16080,,,,,
Tanmaya Hobbs's team 2,0002,TE,Jake Ferguson,15799,,,,,
Tanmaya Hobbs's team 2,0002,WR,DeMario Douglas,16342,,,,,
Tanmaya Hobbs's team 2,0002,TE,Tucker Kraft,16222,,,,,
Tanmaya Hobbs's team 2,0002,WR,Jalen Tolbert,15788,,,,,
Tanmaya Hobbs's team 2,0002,WR,Brandin Cooks,11674,,,,,
Tanmaya Hobbs's team 2,0002,RB,Kareem Hunt,13138,,,,,
Tanmaya Hobbs's team 2,0002,RB,Braelon Allen,16596,,,,,
TK's team,0024,WR,Nico Collins,15290,,,,,
TK's team,0024,QB,C.J. Stroud,16150,,,,,
TK's team,0024,WR,George Pickens,15762,,,,,
TK's team,0024,RB,De'Von Achane,16167,,,,,
TK's team,0024,WR,Emeka Egbuka,17081,,,,,
TK's team,0024,RB,Chase Brown,16181,,,,,
TK's team,0024,RB,Alexander Mattison,14223,,,,,
TK's team,0024,WR,Marquez Valdes-Scantling,13793,,,,,
TK's team,0024,QB,Jalen Hurts,14783,,,,,
TK's team,0024,TE,Jake Ferguson,15799,,,,,
TK's team,0024,TE,Hunter Henry,12676,,,,,
Tom McGinley's team,0017,QB,Lamar Jackson,13593,,,,,
Tom McGinley's team,0017,RB,Derrick Henry,12626,,,,,
Tom McGinley's team,0017,WR,Puka Nacua,16211,,,,,
Tom McGinley's team,0017,WR,Tetairoa McMillan,17071,,,,,
Tom McGinley's team,0017,TE,Jake Ferguson,15799,,,,,
Tom McGinley's team,0017,WR,Stefon Diggs,12186,,,,,
Tom McGinley's team,0017,RB,Zach Charbonnet,16169,,,,,
Tom McGinley's team,0017,WR,DeAndre Hopkins,11232,,,,,
Tom McGinley's team,0017,RB,Jacory Croskey-Merritt,17256,,,,,
Tom McGinley's team,0017,WR,Zay Flowers,16190,,,,,
Tom McGinley's team,0017,TE,Isaiah Likely,15798,,,,,
Tom McGinley's team,0017,QB,Jimmy Garoppolo,11760,,,,,
Tom McGinley's team,0017,WR,Tyler Lockett,12187,,,,,
Tom McGinley's team,0017,RB,Travis Etienne Jr.,15253,,,,,
